full_id,osm_id,osm_type,landuse,camp_id,population,camp-name,xcoord,ycoord,demand_id
w36961151,"36961151",way,residential,"1","50500",Laayoune,"-8.02740729477353","27.7382528326952",1
w293355408,"293355408",way,residential,"3","36600",Aouserd,"-7.87683355699779","27.6196740236441",3
w317677787,"317677787",way,residential,"4","16400",Boujdour,"-8.01120963633038","27.515020625072",4
w293307049,"293307049",way,residential,"5","19400",Dakhla,"-6.87656551090233","26.8246236638874",5
w36960987,"36960987",way,residential,"2","50700",Smara,"-7.8321470773098","27.4912359643796",2
